,check_1,check_2,title,year,author1_surname,author1_givenname,author2_surname,author2_givenname,gender_author1,gender_author2,type,country,wordcount,language,translated,adaptation (read comment),horror,detective,sci-fi,fantasy,romantic,gothic,historical,feminist fiction,mystery,adventure,tragedy,children,regency,manners,philosophical,coming-of-age,filename
ax39,ar2465,tr333,The Fall Of The Grand Sarrasin,2004,Ferrar,William,,,Male,,Novel,United States,"32,938",English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ferrar_WilliamJ_Fall_Grand_Sarrasin.txt
gt294,bkc52,hgr26,The Evil Guest,1895,LeFanu,Joseph,,,Male,,Novel,Ireland,45945,English,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,LeFanu_TheEvilGuest.txt
ehh52,sjr255,kg428,The Enchanted April,1922,von Arnim,Elizabeth,,,Female,,Novel,United Kingdom,77924,English,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,vonArmin_TheEnchantedApril.txt
aj656,,,The Door Through Space,1961,Bradley,Marion,,,Female,,Novel,United States,,English,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,The-Door-Through-Space.txt
ax39,ar2465,tr333,The Disturbing Charm,2011,Ruck,Berta,,,Female,,Novel,United States,"86,134",English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ruck_Berta_The_Disturbing_Charm.txt
lc743,,,The Deluge,1886,Sienkiewicz,Henryk,,,Male,,Novel,Poland,"224,815",Polish,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Sienkiewicz_The_Deluge.txt
ja532,ncw47,kwy3,The Defiant Agents,1962,Norton,Andre,N/A,N/A,Female,N/A,Novel,United States of America,57245,English,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Norton_TheDefiantAgents.txt
sc2538,gsh68,tl566,The Dark Other,1950,Weinbaum,Stanley G.,,,Male,,Novel,United States,50489,English,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,weinbaum_dark_other.txt
ncw47,hgr26,mdn53,The Damned,1914,Blackwood,Algernon,,,Male,,Novel,United Kingdom,"31,416",English,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,blackwood_thedamned.txt
ar2465,scw222,ejs337,The Colors of Space,1963,Zimmer Bradley,Marion,,,Female,,Novel,United States of America,"45,239",English,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Bradley_Colors_of_Space.txt
yr97,vs339,yld3,The Clue of the Twisted Candle,1918,Wallace,Edgar,N/A,N/A,Male,N/A,Novel,United Kingdom,59288,English,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Wallace_TheClueOfTheTwistedCandle.txt
jcv67,ja532,gc386,The Clique of Gold,1871,Emile,Gaboriau,,,Female,,Novel,France,"939,113",English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,the_clique_gold.txt
eg474,kjm258,,The Circular Study,1900,Green,Anna Katharine,,,Female,,Novel,United States,"55,769",English,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Green_CircularStudy.txt
hk627,tst42,gar234,The Circular Staircase,1908,Rinehart,Mary,N/A,N/A,Female,N/A,Novel,United States,70288,English,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rinehart_Mary_TheCircularStaircase.txt
nss97,,crs338,The Champdoce Mystery,1891,Gaboriau,Emile,,,Male,,Novel,France,101563,English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,The_Champdoce_Mystery_EG.txt
tst42,jmt348,gjf58,The Betrothed,1827,Manzoni,Alessandro,N/A,N/A,Male,N/A,Novel,Italy,165211,Italian,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Manzoni_TheBetrothed.txt
hk627,jc2739,gar234,The Best Made Plans,1959,Cole,Everett,N/A,N/A,Male,N/A,Novel,United States,43035,English,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Cole_Everett_TheBestMadePlans.txt
dg588,cc2583,dgr73,The Bell Jar,1963,Sylvia,Plath,,,Female,,Novel,United States,"69,742",English,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Plath_TheBellJar.txt
laf229,hk627,yy596,The Beautiful and Damned,1922,Fitzgerald,F. Scott,N/A,N/A,Male,N/A,Novel,United States,"54,500",English,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Fitzgerald_TheBeautifulandDamned.txt
ar2465,scw222,ejs337,The Ashiel mystery: A Detective Story,1915,Bryce,Charles,,,Female,,Novel,United Kingdom,"87,401",English,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Bryce_Ashiel_Mystery.txt
tl566,hz542,ja532,The Age of Innocence,1920,Wharton,Edith,N/A,N/A,Female,N/A,Novel,United States,"101,254",English,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Wharton_Age_of_Iinnocence.txt
dk564,,,The Adventures of Sherlock Holmes,1892,Doyle,Conan,,,Male,,Novel,United States,104420,English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doyle_The Adventures of Sherlock Holmes.txt
kg428,icr6,sb844,Summer,1917,Wharton,Edith,N/A,N/A,female,N/A,Novel,United States,57499,English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Wharton_Summer.txt
tj256,mn454,ab2226,Storm over Warlock,1960,Norton,Andre,,,Female,,Novel,United States,62057,English,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,norton_stormoverwarlock.txt
hgr26,yz2685,cl922,Star of India,1919,Perrin,Alice,,,Female,,Novel,England,77250,English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Perrin_StarOfIndia.txt
le94,yk499,sjr255,Star Hunter,2006,Norton,Andre,N/A,N/A,Female,N/A,Novel,United States,"33,667",English,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Norton_StarHunter.txt
ss3697,gt294,jk2345,Silas Marner,1861,Eliot,George,,,Female,,Novel,United Kingdom,74098,English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Eliot_SilasMarner.txt
ncw47,hgr26,mdn53,Shirley,1849,Bronte,Charlotte,,,Female,,Novel,United Kingdom,"214,092",English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bronte_shirley.txt
gsh68,lrs263,sh785,Sense and Sensibility,1811,Austen,Jane,,,Female,,Novel,England,"122,646",English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,sense_and_sensibility.txt
crs338,,,Sense and Sensibility,1811,Austen,Jane,,,Female,,Novel,United Kingdom,"657,308",English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Austen_senseandsensibility.txt
hl2424,,,Rainbow Valley,2004,Montgomery,Lucy Maud,N/A,N/A,Female,N/A,Novel,Canada,"81,653",English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,rainbow_valley.txt
xf89,yc2669,fhh26,Pride and Prejudice,1813,Austen,Jane,N/A,N/A,Female,N/A,Novel,United Kingdom,"121,561",English,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Austen_PrideAndPrejudice.txt
emg223,dg588,qjt3,Poirot Investigates,1924,Christie,Agatha,N/A,N/A,Female,N/A,Short stories,United Kingdom,55480,English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Poirot_Investigates.txt
js2896,yr97,aaa429,Plague Ship,1956,Norton,Andre,N/A,N/A,Female,N/A,Novel,United States of America,60020,English,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Norton_PlagueShip.txt
lrs263,sh785,hz542,Persuasion,1817,Austen,Jane,,,Female,,Novel,United Kingdom,83345,English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Austen_Persuasion.txt
eg474,kjm258,,Our Mutual Friend,1865,Dickens,Charles,,,Male,,Novel,United Kingdom,"323,922",English,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Dickens_MutualFriend.txt
yy596,st848,gar234,Northanger Abbey,1994,Austen,Jane,N/A,N/A,female,N/A,Novel,United States,76987,English,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Austen_NorthangerAbbey.txt
mdn53,laf229,le94,Nobody's Girl,1893,Malot,Hector,,,Male,,Novel,France,73148,French,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Malot_NobodysGirl.txt
cac469,ja532,ey89,Night and Day,1919,Woolf,Virginia,,,Female,,Novel,United Kingdom,148000,English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Woolf_NightandDay.txt
scw222,hl2423,dk564,Mr. Standfast,1919,Buchan,John,,,Male,,Novel,United Kingdom,"128,450",English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Buchan_MrStandfast.txt
srs366,nss97,yr97,Moods,1882,Alcott,Louisa May,,,Female,,Novel,United States,"84,388",English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Alcott_Moods.txt
bkc52,kwy3,ss3697,Mizora: A Prophecy,1889,Lane,Mary E. Bradley,N/A,N/A,Female,N/A,Novel,United States,53705,English,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Bradley_Lane_Mizora.txt
sh785,sc2538,sl2324,Middlemarch,1871,Elliot,George,,,Female,,Novel,United Kingdom,"330,572",English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,middlemarch.txt
yld3,,,Micah Clarke,1889,Doyle,Arthur Conan,N/A,N/A,Male,N/A,Novel,England,"177,924",English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doyle_MicahClarke.txt
cc2583,cac469,ey89,Metamorphosis,1915,Kafka,Franz,,,Male,,Novella,Germany,23000,German,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,KafkaFranz_Metamorphosis.txt
khk58,ax39,mn454,Max Carrados,1914,Brahma,Ernest,,,Male,,Novel,United Kingdom,"67,685",English,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bramah_maxcarrados.txt
sjr255,eg474,aj656,Mathilda,1959,Shelley,Mary,,,Female,,Short stories,United Kingdom,43949,English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ShelleyMary_Mathilda.txt
sc2538,gsh68,tl566,Mansfield Park,1814,Austen,Jane,,,Female,,Novel,United Kingdom,159918,English,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,austen_mansfield_park.txt
sl2324,yz2685,yw783,Little Women,1868,Alcott,Louisa May,N/A,N/A,female,N/A,Novel,United States,185915,English,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,little_women.txt
ejs337,vs339,,Little Men: Life at Plumfield With Jo's Boys,1871,Alcott,Louisa May,,,Female,,Novel,United States,"104,845",English,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Alcott_LittleMen.txt
yk499,,,Life Blood,2000,Hoover,Thomas,N/A,N/A,Male,N/A,Novel,United States,"101,689",English,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Hoover_LifeBlood.txt
gt294,bkc52,hgr26,Key Out of Time,2006,Norton,Andre,,,Female,,Novel,United States,56800,English,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Norton_KeyOutOfTime.txt
cc2583,cac469,ey89,House of Mirth,1905,Wharton,Edith,,,Female,,Novel,United States,"40,000",ENGLISH,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WhartonEdith_HouseofMirth.txt
lqz4,gt294,lcc82,His Last Bow,1917,Conan Doyle,Arthur,N/A,N/A,Male,N/A,Novel,England,"67,596",English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,his_last_bow.txt
gc386,yld3,mab583,Guilt of the Brass Thieves,1945,Wirt,Mildred A.,,,Female,,Novel,United States,40625,English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,WirtMildred_GuiltoftheBrassThieves.txt
gar234,lqz4,eg474,Ghost Stories of an Antiquary,1904,James,Montague,,,Male,,Novel,United Kingdom,45876,English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ghost_Stories_of_an_Antiquary.txt
tst42,jmt348,emg223,"Frankenstein; or, The Modern Prometheus",1818,Shelley,Mary,N/A,N/A,Female,N/A,Novel,England,75089,English,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WollstonecraftShelley_Frankenstein.txt
dk564,,,"Frankenstein; Or, The Modern Prometheus",1818,Shelley,Mary Wollstonecraft,,,Female,,Novel,United States,78122,English,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Wollstonecraft_Shelley_Frankenstein.txt
sjr255,eg474,dk564,Four Weird Tales,1912,Blackwood,Algernon,,,Male,,Short stories,United Kingdom,53975,English,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,BlackwoodAlgernon_FourWeirdTales.txt
stw43,nsg57,khk58,Flatland,1884,Abbot,Edwin,,,Male,,Novel,United Kingdowm,32282,English,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,flatland.txt
jlp367,icr6,laf229,Ethan Frome,1911,Wharton,Edith,,,Female,,Novel,United States of America,"34,703",English,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Wharton_EthanFrome.txt
yz2685,pav35,avb37,Emma,1815,Austen,Jane,N/A,N/A,Female,N/A,Novel,United Kingdom,"160,993",English,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,emma.txt
sl2324,yz2685,yw783,Dracula,1897,Stoker,Bram,N/A,N/A,male,N/A,Novel,Ireland,160572,English,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,dracula.txt
cl922,lqz4,gs542,Don Quixote,1605,Cervantes,Miguel,,,Male,,Novel,Spain,400421,English,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Cervantes_DonQuixote.txt
srs366,nss97,yr97,Dead Men Tell No Tales,1898,Hornung,E.W,,,Male,,Novel,United Kingdom,"55,750",English,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Hornung_DeadMenTellNoTales.txt
yld3,mab583,,Chaplet Of Pearls,1868,Yonge,Charlotte Mary,N/A,N/A,Female,N/A,Novel,England,"180,375",English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Yonge_ChapletOfPearls.txt
mdn53,laf229,le94,Caught in the Net,1869,Gaboriau,Emilie,,,Female,,Novel,France,102574,French,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Gaboriau_CaughtInTheNet.txt
lcc82,yk499,,Carmilla,1872,Le_Fanu,Joseph Sheridan,N/A,N/A,Male,N/A,Novel,Ireland,26097,English,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Carmilla.txt
yk499,,,Black Amazon of Mars,2010,Brackett,Leigh,N/A,N/A,Female,N/A,Novel,United States,"23,849",English,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Brackett_BlackAmazonOfMars.txt
lcc82,,,Anne of Green Gables,1908,Montgomery,Lucy Maud,N/A,N/A,Female,N/A,Novel,Canada,"102,276",English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Anne_of_Green_Gables.txt
aaa429,yld3,,Anna Karenina,1878,Tolstoy,Leo,N/A,N/A,Male,N/A,Novel,Russia,349736,Russian,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Tolstoy_AnnaKarenina.txt
nsg57,scw222,lcc82,An Unkindness of Ghosts,2017,Solomon,Rivers,,,Non-Binary,,Novel,United States,101528,English,FALSE,FALSE,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Solomon_AnUnkindnessOfGhosts.txt
mn454,ar2465,jlp367,An Old-Fashioned Girl,1869,Alcott,Louisa May,,,Female,,Novel,United States,"101,905",English,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Alcott_AnOld-FashionedGirl.txt
yc2669,xf89,wms87,Agnes Grey,1847,Bronte,Anne,,,Female,,Novel,United Kingdom,"75,049",English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Bronte_AgnesGrey.txt
jc2739,,,Agatha Webb,1899,Green,Anna Katharine,,,Female,,Novel,United States,"88,821",English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Green_AgathaWebb.txt
lqz4,gt294,lcc82,Adele Doring at Boarding-School,1921,North,Grace May,N/A,N/A,Female,N/A,Novel,United States,39.956,English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,adele_doring_boarding_school.txt
nca28,tl566,stw43,A Study in Scarlet,1887,Conan Doyle,Arthur,,,Male,,Novel,England,43333,English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ConanDoyle_AStudyInScarlet.txt
gc386,,,A Strange Disappearance,1998,Green,Anna Katharine,,,Female,,Novel,United States,51470,English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,GreenAnnaKatharine_AStrangeDisappearance.txt
kwy3,cl922,hk627,A Sicillian Romance,1790,Radcliffe,Ann Ward,N/A,N/A,Female,N/A,Novel,United Kingdom,"67,728",English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,radcliffeann_a_sicillian_romance.txt
tr333,sjs457,sl2324,A Round Dozen,1883,Coolidge,Susan,,,Female,,Novel,United States,48669,English,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Coolidge_ARoundDozen.txt
tl566,hz542,ja532,813,1910,Leblanc,Maurice,N/A,N/A,Male,N/A,Novel,France,"114,984",French,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Leblanc_813.txt
